category,database,count,top_ids,query,status
pubmed_alias_direct_escc,pubmed,0,,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (ESCC[tiab] OR ""esophageal squamous cell carcinoma""[tiab] OR ""oesophageal squamous cell carcinoma""[tiab] OR ""esophageal cancer""[tiab] OR ""oesophageal cancer""[tiab] OR ""esophageal carcinoma""[tiab] OR ""oesophageal carcinoma""[tiab])",ok
pubmed_alias_escc_caupr,pubmed,0,,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (ESCC[tiab] OR ""esophageal squamous cell carcinoma""[tiab] OR ""oesophageal squamous cell carcinoma""[tiab] OR ""esophageal cancer""[tiab] OR ""oesophageal cancer""[tiab] OR ""esophageal carcinoma""[tiab] OR ""oesophageal carcinoma""[tiab]) AND (calcium[tiab] OR Ca2[tiab] OR Ca2+[tiab] OR SOCE[tiab] OR STIM1[tiab] OR ORAI1[tiab] OR UPR[tiab] OR ""unfolded protein response""[tiab] OR ""endoplasmic reticulum stress""[tiab] OR ""ER stress""[tiab] OR PERK[tiab] OR EIF2AK3[tiab] OR IRE1[tiab] OR ERN1[tiab] OR XBP1[tiab] OR ATF6[tiab])",ok
pubmed_alias_escc_caf,pubmed,0,,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (ESCC[tiab] OR ""esophageal squamous cell carcinoma""[tiab] OR ""oesophageal squamous cell carcinoma""[tiab] OR ""esophageal cancer""[tiab] OR ""oesophageal cancer""[tiab] OR ""esophageal carcinoma""[tiab] OR ""oesophageal carcinoma""[tiab]) AND (CAF[tiab] OR ""cancer-associated fibroblast""[tiab] OR fibroblast[tiab] OR fibroblasts[tiab] OR stromal[tiab] OR stroma[tiab] OR ""tumor microenvironment""[tiab] OR ""tumour microenvironment""[tiab] OR ""extracellular matrix""[tiab] OR ECM[tiab])",ok
pubmed_alias_escc_signature,pubmed,0,,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (ESCC[tiab] OR ""esophageal squamous cell carcinoma""[tiab] OR ""oesophageal squamous cell carcinoma""[tiab] OR ""esophageal cancer""[tiab] OR ""oesophageal cancer""[tiab] OR ""esophageal carcinoma""[tiab] OR ""oesophageal carcinoma""[tiab]) AND (prognosis[tiab] OR prognostic[tiab] OR survival[tiab] OR immune[tiab] OR infiltration[tiab] OR biomarker[tiab] OR diagnostic[tiab] OR ""multi-omics""[tiab] OR multiomics[tiab] OR signature[tiab] OR ""single-cell""[tiab] OR ""single cell""[tiab] OR methylation[tiab] OR CNV[tiab] OR ""drug sensitivity""[tiab] OR chemoresistance[tiab])",ok
pubmed_alias_pan_cancer_signature,pubmed,27,37238607;31531884;39543089;40347726;37970923;33428142;34992215;39477292;36977915;37064154;16917802;38508329;40205358;41070623;23098063;35711843;36387246;16737913;32863902;35945754,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (cancer[tiab] OR cancers[tiab] OR tumor[tiab] OR tumour[tiab] OR carcinoma[tiab] OR neoplasm[tiab]) AND (prognosis[tiab] OR prognostic[tiab] OR survival[tiab] OR immune[tiab] OR infiltration[tiab] OR biomarker[tiab] OR diagnostic[tiab] OR ""multi-omics""[tiab] OR multiomics[tiab] OR signature[tiab] OR ""single-cell""[tiab] OR ""single cell""[tiab] OR methylation[tiab] OR CNV[tiab] OR ""drug sensitivity""[tiab] OR chemoresistance[tiab])",ok
pubmed_alias_cancer_caupr,pubmed,0,,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (cancer[tiab] OR cancers[tiab] OR tumor[tiab] OR tumour[tiab] OR carcinoma[tiab] OR neoplasm[tiab]) AND (calcium[tiab] OR Ca2[tiab] OR Ca2+[tiab] OR SOCE[tiab] OR STIM1[tiab] OR ORAI1[tiab] OR UPR[tiab] OR ""unfolded protein response""[tiab] OR ""endoplasmic reticulum stress""[tiab] OR ""ER stress""[tiab] OR PERK[tiab] OR EIF2AK3[tiab] OR IRE1[tiab] OR ERN1[tiab] OR XBP1[tiab] OR ATF6[tiab])",ok
pubmed_alias_cancer_caf,pubmed,7,37238607;16964279;11822868;41070623;41942785;40205358;40347726,"((TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR ENSG00000249992[tiab]) OR (RIS1[tiab] AND (TMEM158[tiab] OR HBBP[tiab] OR p40BBp[tiab] OR p40BBP[tiab] OR ""transmembrane protein 158""[tiab] OR Ras[tiab] OR senescence[tiab]))) AND (cancer[tiab] OR cancers[tiab] OR tumor[tiab] OR tumour[tiab] OR carcinoma[tiab] OR neoplasm[tiab]) AND (CAF[tiab] OR ""cancer-associated fibroblast""[tiab] OR fibroblast[tiab] OR fibroblasts[tiab] OR stromal[tiab] OR stroma[tiab] OR ""tumor microenvironment""[tiab] OR ""tumour microenvironment""[tiab] OR ""extracellular matrix""[tiab] OR ECM[tiab])",ok
pubmed_tmem_review,pubmed,3,37238607;41070623;23657602,"(TMEM158[tiab] OR ""transmembrane protein 158""[tiab]) AND (review[pt] OR review[tiab] OR ""research progress""[tiab])",ok
pubmed_ris1_broad_escc,pubmed,0,,"RIS1[tiab] AND (ESCC[tiab] OR ""esophageal squamous cell carcinoma""[tiab] OR ""oesophageal squamous cell carcinoma""[tiab] OR ""esophageal cancer""[tiab] OR ""oesophageal cancer""[tiab] OR ""esophageal carcinoma""[tiab] OR ""oesophageal carcinoma""[tiab])",ok
pmc_fulltext_exact_alias_escc,pmc,67,9395270;12530797;9663988;11120281;11940884;12857762;11491687;9351901;7295848;11927154;12559857;12883345;4809432;5314727;6291505;11843188;4939879;12274182;10802599;8257394,"(TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR ENSG00000249992) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"")",ok
pmc_fulltext_exact_alias_escc_caupr,pmc,34,12530797;9395270;11940884;11843188;11120281;11912080;12883345;7295848;12857762;11491687;4809432;6291505;8257394;11744720;6162471;12274182;7555373;6463957;10183144;10186539,"(TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR ENSG00000249992) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"") AND (calcium OR Ca2 OR SOCE OR UPR OR ""unfolded protein response"" OR ""endoplasmic reticulum stress"" OR ""ER stress"" OR PERK OR IRE1 OR XBP1 OR ATF6)",ok
pmc_fulltext_exact_alias_escc_caf,pmc,49,12559857;12274182;11940884;12883345;12857762;12505563;9395270;11137237;12530797;10118028;11476087;11201569;4924771;10926647;9663988;4809432;7295848;10186539;11927154;6463957,"(TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR ENSG00000249992) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"") AND (CAF OR ""cancer-associated fibroblast"" OR fibroblast OR stromal OR stroma OR ""tumor microenvironment"" OR ""extracellular matrix"" OR ECM)",ok
pmc_fulltext_exact_alias_escc_signature,pmc,67,12857762;12530797;9952925;9351901;9395270;11940884;12559857;8641985;10217316;9663988;5947154;11744720;12308117;10278923;6463957;7277826;10926647;11912080;11082681;9246607,"(TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR ENSG00000249992) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"") AND (prognosis OR prognostic OR survival OR immune OR infiltration OR biomarker OR diagnostic OR multiomics OR ""multi-omics"" OR signature OR supplement OR supplementary)",ok
pmc_fulltext_ris1_guarded_escc,pmc,6,9395270;1208945;6291505;2965177;9199482;3442287,"(RIS1 AND (TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR Ras OR senescence)) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"")",ok
pmc_fulltext_ris1_guarded_escc_caupr,pmc,5,9395270;1208945;6291505;3442287;9199482,"(RIS1 AND (TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR Ras OR senescence)) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"") AND (calcium OR Ca2 OR SOCE OR UPR OR ""unfolded protein response"" OR ""endoplasmic reticulum stress"" OR ""ER stress"" OR PERK OR IRE1 OR XBP1 OR ATF6)",ok
pmc_fulltext_ris1_guarded_escc_caf,pmc,6,9395270;1208945;6291505;2965177;9199482;3442287,"(RIS1 AND (TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR Ras OR senescence)) AND (ESCC OR ""esophageal squamous cell carcinoma"" OR ""oesophageal squamous cell carcinoma"" OR ""esophageal cancer"" OR ""oesophageal cancer"" OR ""esophageal carcinoma"" OR ""oesophageal carcinoma"") AND (CAF OR ""cancer-associated fibroblast"" OR fibroblast OR stromal OR stroma OR ""tumor microenvironment"" OR ""extracellular matrix"" OR ECM)",ok
pmc_fulltext_alias_pan_cancer_signature,pmc,548,9395270;4524016;7436114;9174849;12841848;10627164;11655476;10047383;13053443;5620011;10102456;9351901;9952925;11871282;12719306;12857762;8417171;11983802;7766036;10315132,"((TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR ENSG00000249992) OR (RIS1 AND (TMEM158 OR HBBP OR p40BBp OR p40BBP OR ""transmembrane protein 158"" OR Ras OR senescence))) AND (prognosis OR prognostic OR survival OR immune OR infiltration OR biomarker OR diagnostic OR multiomics OR ""multi-omics"" OR signature OR supplement OR supplementary)",ok
