"Cell_type","group_name","TAC_meta_ECM_score","CAF_ECM_score","ECM_integrin_ligand_score","Integrin_receptor_score","Proteostasis_score","n_cells"
"Fibroblast","Fib-MMP1",3.77216011992104,3.77353167054929,3.74428916285452,1.65723101453513,0.874481901568029,2790
"Fibroblast","Fib-MKI67",3.25084749256612,3.19130147935806,3.73405609149547,2.20465639673297,0.781887829092466,135
"Fibroblast","Fib-CFD",2.69313617459378,2.83179252456025,2.36501725572672,0.505696803492804,0.629693227100115,462
"Fibroblast","Fib-HTRA1",2.46975144205732,2.577026472362,3.20298078422298,-0.366077985731727,-0.801811752058552,1205
"Fibroblast","Fib-MCAM",2.35748365846698,2.28332670298569,2.17257341865877,1.91808952829405,0.155366176393377,530
"Fibroblast","Fib-ACTA2",2.24681409629708,2.32365063503944,1.946924732129,1.26512318749133,-0.138350008211806,563
"Endothelial","EC-MKI67",0.554449555715036,0.410645247733177,0.01798455532922,2.67988313897495,1.59990179101118,57
"Endothelial","EC-PDPN",0.269604627278769,0.21172975545712,0.347340304051558,0.457095299292592,-0.31619291954704,19
"Endothelial","EC-CCL14",0.15382420333734,0.0675235024363866,-0.0274270008967851,0.684901251337653,0.12672981659594,533
"Endothelial","EC-FLT1",0.113125757983248,0.118354108427545,-0.0747372084792266,0.929523953957424,-0.0573947498366055,697
"Myeloid","Macro-FN1",-0.0519222682752332,-0.139363412618178,0.0602837667269068,0.526085564274914,0.411852434951851,94
"Epithelial","Ep-C7",-0.0784322482313421,-0.0956157955659224,-0.229950459412191,2.66835100195102,2.09976994024782,385
"Myeloid","Macro-IL1B",-0.177950877790675,-0.289728498356684,-0.214017829678355,0.526369459652989,0.079486910379977,107
"Myeloid","Macro-CXCL5",-0.183353450057331,-0.251043953336576,-0.30942307291851,0.562298893023088,0.000962377545759674,175
"Myeloid","Macro-CXCL10",-0.18693661503506,-0.2855020877595,-0.267378296293648,0.621779927759053,0.436137155550376,90
"Myeloid","Mono-FOS",-0.187559617921031,-0.293967114092998,-0.239956640200897,0.429771252706322,0.278770422164322,36
"Myeloid","pro M-MKI67",-0.188963717145482,-0.279362558063985,-0.374655454192972,0.417209360789831,1.27351669672915,86
"Epithelial","Ep-N2",-0.193510569126618,-0.243689027401357,-0.325976086204222,1.00644900417415,0.560496652257509,365
"Myeloid","Macro-APOE",-0.199657490281562,-0.296292711114652,-0.321033852532653,0.641603314226096,0.76233685661403,337
"Myeloid","Macro-CCL13",-0.215817905410896,-0.286733381552786,-0.337385682081521,0.600635900891809,0.520692303974605,191
"Myeloid","Mono-THBS1",-0.230541036399357,-0.358883422276941,-0.325949248368039,0.509985281731312,-0.140437607301232,285
"Myeloid","DC-CLEC9A",-0.230772932303256,-0.416490230030677,-0.415036677967265,-0.662394481155662,0.582500802470088,23
"Myeloid","DC-CD1C",-0.245976496300888,-0.336645426765439,-0.281435152977087,-0.0979961139924101,-0.00918717326627732,302
"Myeloid","DC-LAMP3",-0.254500697383429,-0.388197820232727,-0.388021617338368,-0.416722017131128,0.241104713891119,53
"Mast cell","Mast cell",-0.28929402356561,-0.414947774321757,-0.401006597874377,-0.65283015875256,-0.531419105702667,422
"Myeloid","Mono-S100A12",-0.298959770354693,-0.383992246823333,-0.397999221935686,-0.00952313753672219,-0.645537014984099,257
"Myeloid","Macro-HSPA6",-0.301021833345817,-0.402144382608323,-0.358433695056231,-0.311007196265351,-0.225859289967931,89
"Myeloid","pDC",-0.307959165882032,-0.404223619161827,-0.418302235890732,-0.726363719060451,0.794731951714913,13
"T cell","Tex-MKI67",-0.315749700782887,-0.397065512932756,-0.403268389897612,-0.388030632083246,-0.478753644898071,324
"Epithelial","Ep-C2",-0.340952179042622,-0.275051426963307,-0.344729207974346,0.373678667753319,1.0727446908599,1625
"Epithelial","Ep-C6",-0.349265463360199,-0.236237236906031,-0.327850884428301,1.21026625441071,2.04938352946538,831
"Epithelial","Ep-C11",-0.398962405654282,-0.291413362034184,-0.377123359205709,0.878921614941481,1.71034560395513,712
"Epithelial","Ep-C4",-0.399947072204515,-0.304996760438183,-0.357632173463047,1.338163359129,2.1691178240506,961
"Epithelial","Ep-C3",-0.40658711223568,-0.237718056094141,-0.382281037659661,0.910069562093571,1.01940052959021,466
"Epithelial","Ep-C9",-0.407594701940872,-0.263996875997637,-0.348971199913758,1.08350904029966,1.39211976277944,609
"T cell","Tex-PDCD1",-0.415343799850572,-0.403478568243527,-0.409504708058349,-0.72493008641522,-0.669740692880065,198
"B cell","Germinal center",-0.420458106274915,-0.424025092748564,-0.42407269731356,-1.00432139110843,-0.391293603556437,96
"Epithelial","Ep-C0",-0.422798208833543,-0.32472243772445,-0.337407067014887,0.0822884290176051,1.10566297438627,1421
"T cell","NK-XCL2",-0.428430555962695,-0.400078753250782,-0.376115346941621,-0.771939531232956,-0.812852701376205,74
"B cell","Plasma cell",-0.429218858947234,-0.423034512841952,-0.386306376236208,-0.866947587650605,0.95367884924087,63
"T cell","CD8-MT1X",-0.437714961533794,-0.400490867520054,-0.380358166717833,-0.736915920377131,-1.05108112856293,115
"T cell","NK-GNLY",-0.441616181156658,-0.433879637427662,-0.408223356536189,-0.631594485319838,-0.9380037055537,847
"Epithelial","Ep-C5",-0.442376082581031,-0.317645380418767,-0.389570147828726,0.839551741856035,1.24907048329703,523
"T cell","Tex-GZMK",-0.444438901397101,-0.439967860176781,-0.408550918594278,-0.615058455000619,-0.901715565584791,512
"T cell","Tn-TCF7",-0.445014392139868,-0.428576398410441,-0.420048401954287,-0.778651618879123,-0.986649993970954,552
"T cell","CD4-Treg",-0.447324776461091,-0.434041067628327,-0.411515388905085,-0.87897875620717,-0.99482689792171,1569
"T cell","NK-AREG",-0.447948081187568,-0.418220559461358,-0.400053536212573,-0.726144084815563,-0.806961832954213,406
"T cell","Tem-IFNG",-0.449711180537752,-0.402048203687628,-0.407870595983347,-0.553169613571692,-0.898530572464949,125
"Epithelial","Ep-C1",-0.450811706527245,-0.34414182217662,-0.360460477379766,0.508979218761096,1.51293600749974,1575
"T cell","Tex-CCL3",-0.450966708154019,-0.425871474225687,-0.395242820391581,-0.570715694663897,-0.896632466163243,140
"T cell","CD8-ISG15",-0.453610460223517,-0.439087256263487,-0.415112960423367,-0.662022635421989,-0.954027825272295,197
"T cell","Early Tem-GZMK",-0.455132963729019,-0.430082319198315,-0.406951350076795,-0.864603993492017,-1.04232879967738,912
"Epithelial","Ep-C10",-0.455472713772453,-0.338957744258584,-0.35698687518785,0.354065730355116,1.2307344419805,641
"T cell","Tem-GZMK",-0.465269011883541,-0.444178376061431,-0.406844139597016,-0.822315847959765,-1.09956696019712,3419
"B cell","Activated B",-0.471431916309132,-0.440699156638167,-0.422112051086335,-0.827109230087728,-0.938815689978813,127
"Epithelial","Ep-C8",-0.478869071436078,-0.329198256760012,-0.363499158002774,0.236087349498932,1.49403218580094,360
"Epithelial","Ep-N5",-0.479822342494627,-0.37992215112118,-0.373826457809025,-0.380452775446222,-0.208139802228319,200
"T cell","Temra-CD8",-0.481252159346085,-0.414180882852467,-0.405538681793884,-0.897075321477492,-1.01239418214607,118
"Epithelial","Ep-N0",-0.500764357086004,-0.428691620397568,-0.384187100758397,-0.846602352507254,-0.748839884294552,1047
"Epithelial","Ep-N4",-0.508984730816512,-0.426219611424696,-0.39467552251248,-0.900098300071358,-0.182436611645862,274
"Epithelial","Ep-N3",-0.52320529613666,-0.415109641096688,-0.39789250550401,-1.07890120830653,-0.670273928431713,64
"Epithelial","Ep-N1",-0.534289313969903,-0.437759062870511,-0.411525672046791,-0.77352904457751,-0.621012868900283,115
