document,line_number,category,severity,term,status,excerpt,recommendation
README.md,178,wet_lab_performed,high,IHC,boundary_statement,"transmembrane-protein candidate with public antibody/IHC context, but does",No text change required if the negating boundary remains clear.
README.md,181,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"T-cell exhaustion, Treg, or suppressive myeloid claims after FDR correction.",No text change required if the negating boundary remains clear.
README.md,342,direct_spatial_or_lr,medium,ligand-receptor causality,acceptable_boundary_context,"This layer ranks POSTN/FN1/collagen-integrin and MIF-CXCR4 candidates for defined-partner co-modelling and orthogonal assays only. It does not prove ligand-receptor causality, receptor activation, TMEM158 binding or physical CAF-to-epithelial communication.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,11,clinical_prognosis,high,prognostic biomarker,acceptable_boundary_context,"Calcium homeostasis, unfolded protein response (UPR) branch activity and stromal remodelling are incompletely integrated in oesophageal squamous cell carcinoma (ESCC). We performed an axis-first public-data analysis to identify upstream candidates associated with a Ca2/UPR stress ecology. TMEM158 emerged as a computational entry point, rather than as a standalone prognostic biomarker. We defined TAC_high as the co-oc",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,21,causal_driver,high,causal,acceptable_boundary_context,"Public expression compendia provide an opportunity to test whether such ecology-level states are reproducible across independent ESCC cohorts. In preliminary candidate screening, an earlier SMIM14-centred model did not support a strong causal, prognostic or treatment-resistance interpretation. We therefore rebuilt the analysis around a Ca2/UPR axis-first strategy. This screen selected TMEM158 as the lead computationa",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,causal_driver,high,causal,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,causal_driver,high,driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,validated_mechanism,high,validated causal driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,49,validated_mechanism,high,validated clinical-survival subtype,acceptable_boundary_context,"We further tested whether the TAC_high signal exceeded random state assignment within each cohort. Cohort-preserving permutation analysis showed the strongest specificity for drug-efflux transcriptional readout (weighted median delta=0.543, empirical two-sided P=0.00350, empirical FDR=0.0105). Proteostasis showed a positive but not FDR-confirmed specificity trend (delta=0.349, empirical two-sided P=0.0815, empirical ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,57,validated_mechanism,high,validated drug-resistance or survival subtype,acceptable_boundary_context,"We then modelled the interaction between core-high and CAF-high status to ask whether TAC_high exceeded the additive components of axis-high and CAF-high states. This interaction model was testable in three cohorts. It did not identify individual genes at FDR<0.10, so it should not be interpreted as a single-gene synergy signature. However, pathway-level analysis showed positive enrichment for translation, oxidative ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,87,direct_spatial_or_lr,medium,direct spatial validation,acceptable_boundary_context,"We next added a public spatial progression source-data calibration layer from a Nature Communications 2023 ESCC spatial whole-transcriptome study. The public Source Data did not contain the complete WTA expression matrix, so TMEM158, Ca2/UPR and TAC_high could not be directly rescored in spatial ROIs. However, the published DSP and IF source tables supported a fibroblast-rich progression context: DSP fibroblast abund",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,89,wet_lab_performed,high,IHC,boundary_statement,"Official public protein/context resources supported TMEM158 as a measurable membrane-protein candidate. UniProt annotated TMEM158 as reviewed accession Q8WZ71, Transmembrane protein 158, 300 amino acids, with membrane and multi-pass membrane protein annotations. QuickGO/UniProt cellular-component evidence was limited to membrane (GO:0016020). HPA mapped TMEM158 to ENSG00000249992, classified it as a predicted membran",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,95,clinical_prognosis,high,prognostic biomarker,acceptable_boundary_context,"This study identifies TAC_high as a reproducible, rule-defined ESCC ecology state linking TMEM158, Ca2/PERK-core activity and CAF context to proteostasis and cell-survival transcriptional readouts. The main biological finding is not that TMEM158 alone is a prognostic biomarker. Nor do these data show that TMEM158 directly activates Ca2/UPR signalling. Rather, TMEM158 provides a computational entry point into a broade",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,109,causal_driver,high,causal,acceptable_boundary_context,"These boundaries are important for manuscript positioning. The study supports a public-data biological discovery hypothesis for a pure bioinformatics paper focused on stress-state ecology. It does not support treatment recommendations, causal pathway claims or clinical biomarker implementation. Future experimental work should test whether perturbing TMEM158 changes Ca2 dynamics, SOCE, PERK/IRE1/ATF6 branch proteins, ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,127,causal_driver,high,causal,acceptable_boundary_context,"The project was rebuilt from an axis-first regulator screen after the original SMIM14-core model failed to support strong causal or prognostic claims. Candidate scoring integrated TCGA axis-CAF discovery, GSE45670 validation, GSE160269 epithelial and CAF pseudo-bulk evidence, DepMap ESCC expression context, public proteogenomics coverage and PubMed novelty gates. TMEM158 was selected as the lead computational candida",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,159,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"GSE160269 pseudo-bulk scores were used to map rule-defined TAC_high states and test immune-context differences. Treg, suppressive-myeloid, inflammatory-myeloid, T-cell exhaustion and T-cell cytotoxicity scores were compared between TAC_high and all other rule-defined states with FDR correction.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,165,causal_driver,high,causal,acceptable_boundary_context,"To generate a bridge hypothesis without claiming causal cell-cell communication, we curated CAF-to-epithelial ligand-receptor pairs across ECM-integrin, laminin-integrin, TGF-beta/activin, IL6-family, chemokine, MIF/SPP1, growth-factor and developmental axes. Ligands were quantified in fibroblast pseudo-bulk profiles and receptors in epithelial pseudo-bulk profiles from raw GSE160269 matrices. For each pair, a ligand",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,213,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"**Figure 6. Single-cell and public protein boundary context.** GSE160269 pseudo-bulk data map TAC_high but do not support robust T-cell exhaustion or suppressive-myeloid enrichment. UniProt/QuickGO/HPA support TMEM158 membrane-protein plausibility and public antibody context, without direct ER localization or ESCC protein validation.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,11,clinical_prognosis,high,prognostic biomarker,acceptable_boundary_context,"Calcium homeostasis, unfolded protein response (UPR) branch activity and stromal remodelling are incompletely integrated in oesophageal squamous cell carcinoma (ESCC). We performed an axis-first public-data analysis to identify upstream candidates associated with a Ca2/UPR stress ecology. TMEM158 emerged as a computational entry point, rather than as a standalone prognostic biomarker. We defined TAC_high as the co-oc",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,21,causal_driver,high,causal,acceptable_boundary_context,"Public expression compendia provide an opportunity to test whether such ecology-level states are reproducible across independent ESCC cohorts. In preliminary candidate screening, an earlier SMIM14-centred model did not support a strong causal, prognostic or treatment-resistance interpretation. We therefore rebuilt the analysis around a Ca2/UPR axis-first strategy. This screen selected TMEM158 as the lead computationa",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,23,causal_driver,high,causal,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,23,causal_driver,high,driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,23,validated_mechanism,high,validated causal driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,49,validated_mechanism,high,validated clinical-survival subtype,acceptable_boundary_context,"We further tested whether the TAC_high signal exceeded random state assignment within each cohort. Cohort-preserving permutation analysis showed the strongest specificity for drug-efflux transcriptional readout (weighted median delta=0.543, empirical two-sided P=0.00350, empirical FDR=0.0105). Proteostasis showed a positive but not FDR-confirmed specificity trend (delta=0.349, empirical two-sided P=0.0815, empirical ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,57,validated_mechanism,high,validated drug-resistance or survival subtype,acceptable_boundary_context,"We then modelled the interaction between core-high and CAF-high status to ask whether TAC_high exceeded the additive components of axis-high and CAF-high states. This interaction model was testable in three cohorts. It did not identify individual genes at FDR<0.10, so it should not be interpreted as a single-gene synergy signature. However, pathway-level analysis showed positive enrichment for translation, oxidative ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,87,direct_spatial_or_lr,medium,direct spatial validation,acceptable_boundary_context,"We next added a public spatial progression source-data calibration layer from a Nature Communications 2023 ESCC spatial whole-transcriptome study [21]. The public Source Data did not contain the complete WTA expression matrix, so TMEM158, Ca2/UPR and TAC_high could not be directly rescored in spatial ROIs. However, the published DSP and IF source tables supported a fibroblast-rich progression context: DSP fibroblast ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,89,wet_lab_performed,high,IHC,boundary_statement,"Official public protein/context resources supported TMEM158 as a measurable membrane-protein candidate [22-24]. UniProt annotated TMEM158 as reviewed accession Q8WZ71, Transmembrane protein 158, 300 amino acids, with membrane and multi-pass membrane protein annotations. QuickGO/UniProt cellular-component evidence was limited to membrane (GO:0016020). HPA mapped TMEM158 to ENSG00000249992, classified it as a predicted",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,95,clinical_prognosis,high,prognostic biomarker,acceptable_boundary_context,"This study identifies TAC_high as a reproducible, rule-defined ESCC ecology state linking TMEM158, Ca2/PERK-core activity and CAF context to proteostasis and cell-survival transcriptional readouts. The main biological finding is not that TMEM158 alone is a prognostic biomarker. Nor do these data show that TMEM158 directly activates Ca2/UPR signalling. Rather, TMEM158 provides a computational entry point into a broade",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,109,causal_driver,high,causal,acceptable_boundary_context,"These boundaries are important for manuscript positioning. The study supports a public-data biological discovery hypothesis for a pure bioinformatics paper focused on stress-state ecology. It does not support treatment recommendations, causal pathway claims or clinical biomarker implementation. Future experimental work should test whether perturbing TMEM158 changes Ca2 dynamics, SOCE, PERK/IRE1/ATF6 branch proteins, ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,127,causal_driver,high,causal,acceptable_boundary_context,"The project was rebuilt from an axis-first regulator screen after the original SMIM14-core model failed to support strong causal or prognostic claims. Candidate scoring integrated TCGA axis-CAF discovery, GSE45670 validation, GSE160269 epithelial and CAF pseudo-bulk evidence, DepMap ESCC expression context, public proteogenomics coverage and PubMed novelty gates. TMEM158 was selected as the lead computational candida",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,159,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"GSE160269 pseudo-bulk scores were used to map rule-defined TAC_high states and test immune-context differences. Treg, suppressive-myeloid, inflammatory-myeloid, T-cell exhaustion and T-cell cytotoxicity scores were compared between TAC_high and all other rule-defined states with FDR correction.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,165,causal_driver,high,causal,acceptable_boundary_context,"To generate a bridge hypothesis without claiming causal cell-cell communication, we curated CAF-to-epithelial ligand-receptor pairs across ECM-integrin, laminin-integrin, TGF-beta/activin, IL6-family, chemokine, MIF/SPP1, growth-factor and developmental axes. Ligands were quantified in fibroblast pseudo-bulk profiles and receptors in epithelial pseudo-bulk profiles from raw GSE160269 matrices. For each pair, a ligand",No text change required if the negating boundary remains clear.
07_manuscript/manuscript_scientific_reports.md,213,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"**Figure 6. Single-cell and public protein boundary context.** GSE160269 pseudo-bulk data map TAC_high but do not support robust T-cell exhaustion or suppressive-myeloid enrichment. UniProt/QuickGO/HPA support TMEM158 membrane-protein plausibility and public antibody context, without direct ER localization or ESCC protein validation.",No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,5,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,本分支不再把 TMEM158 写成单基因预后标志或已验证驱动因子，而是把论文中心放在 `TAC_high` 规则型应激生态状态：TMEM158-high、Ca2/PERK-core-high 与 CAF-high 共同出现。该状态在 4 个 bulk 队列均可定义，并与 proteostasis score 和 cell-survival transcriptional score 呈跨队列复现关联。全转录组 meta 显示 TAC_high-vs-other 主要是 ECM/CAF/EMT 程序，核心基因包括 POSTN、COL6A3、COL1A2、TMEM158 和 FAP；core-high x CAF-high 交互项没有单基因 FDR 阳性，但 pathway 层支持 translation、OXPHOS、MYC targets、N-linked glycosylation 和膜蛋白共翻译靶向。新增 CAF-adjus,No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,76,causal_driver,high,causal,acceptable_boundary_context,- TMEM158 is not claimed as a validated causal driver.,No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,76,causal_driver,high,driver,acceptable_boundary_context,- TMEM158 is not claimed as a validated causal driver.,No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,76,validated_mechanism,high,validated causal driver,acceptable_boundary_context,- TMEM158 is not claimed as a validated causal driver.,No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,78,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,- TAC_high is not claimed to drive T-cell exhaustion or myeloid immune suppression.,No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,84,wet_lab_performed,high,IHC,boundary_statement,"- Public protein context is not claimed as new IHC, IF, ER-localization or ESCC protein validation.",No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,98,direct_spatial_or_lr,medium,ligand-receptor causality,acceptable_boundary_context,"- Figure19-Figure20 strengthen independent single-cell context through GSE221561, but this dataset has partial raw-library recovery and only six matched tumour libraries for bridge context. Do not write it as definitive validation, therapy-response proof or ligand-receptor causality.",No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,99,direct_spatial_or_lr,medium,direct spatial validation,acceptable_boundary_context,"- Figure21 adds a public spatial-progression context layer, but it uses graph-level Source Data rather than the complete WTA matrix. Do not write it as direct spatial validation of TMEM158, TAC_high, Ca2/UPR activation or ligand-receptor causality.",No text change required if the negating boundary remains clear.
07_manuscript/submission_package.md,99,direct_spatial_or_lr,medium,ligand-receptor causality,acceptable_boundary_context,"- Figure21 adds a public spatial-progression context layer, but it uses graph-level Source Data rather than the complete WTA matrix. Do not write it as direct spatial validation of TMEM158, TAC_high, Ca2/UPR activation or ligand-receptor causality.",No text change required if the negating boundary remains clear.
07_manuscript/supplementary_information_scientific_reports.md,9,causal_driver,high,causal,acceptable_boundary_context,"This study used only publicly available datasets and did not involve newly collected human specimens, animal experiments, or wet-lab experiments. All supplementary results should be interpreted as public-data associations and computational prioritization, not as causal or clinical validation.",No text change required if the negating boundary remains clear.
07_manuscript/supplementary_information_scientific_reports.md,19,clinical_prognosis,high,clinical subtype,acceptable_boundary_context,"`TAC_high` was treated as a rule-defined ecology state combining TMEM158, Ca2/PERK branch-state and CAF context. It was used as a transparent public-data state, not as an unsupervised clinical subtype or validated prognostic classifier.",No text change required if the negating boundary remains clear.
