check_id,check_area,observed_value,status,notes,evidence_path
references_section_present,reference_structure,present,pass,Manuscript must include a References section.,07_manuscript/manuscript_scientific_reports.md
reference_count,reference_structure,25,pass,Numbered references detected after the References heading.,07_manuscript/manuscript_scientific_reports.md
references_contiguous,reference_structure,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,pass,Reference list should be contiguous from 1 to N.,07_manuscript/manuscript_scientific_reports.md
citation_groups_in_text,in_text_citations,17,pass,Square-bracket numeric citation groups detected before References.,07_manuscript/manuscript_scientific_reports.md
unique_references_cited,in_text_citations,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,pass,Every reference in the list should be cited at least once.,07_manuscript/manuscript_scientific_reports.md
uncited_references,in_text_citations,none,pass,Listed references without any in-text citation.,07_manuscript/manuscript_scientific_reports.md
out_of_range_citations,in_text_citations,none,pass,In-text citation numbers that do not exist in the reference list.,07_manuscript/manuscript_scientific_reports.md
first_appearance_order,numbering_order,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,pass,Nature-style numeric references should run sequentially by first citation.,07_manuscript/manuscript_scientific_reports.md
abstract_reference_pattern,abstract,none,pass,Scientific Reports asks for an unstructured abstract without references.,07_manuscript/manuscript_scientific_reports.md
citation_coverage_clearance,clearance,pass,pass,"Pass requires cited references to cover all listed references, no out-of-range citations, sequential first appearance and no abstract references.",07_manuscript/manuscript_scientific_reports.md
citation_group_001,citation_group_detail,[1],pass,"line 19; refs 1; Molecular studies of ESCC indicate that tumour progression is shaped by stress adaptation and tumour-microenvironment remodelling [1]. Calcium homeostasis and endoplasmic-reticulum stress are central to proteostasis, apoptosis and therapy-pressure responses in cancer [2,3]. The UPR is not a single linear pathway. PERK, IRE1 and ATF6 branches can diverge according to stress duration, cellular lineage and microenvironm",07_manuscript/manuscript_scientific_reports.md
citation_group_002,citation_group_detail,"[2,3]",pass,"line 19; refs 2;3; Molecular studies of ESCC indicate that tumour progression is shaped by stress adaptation and tumour-microenvironment remodelling [1]. Calcium homeostasis and endoplasmic-reticulum stress are central to proteostasis, apoptosis and therapy-pressure responses in cancer [2,3]. The UPR is not a single linear pathway. PERK, IRE1 and ATF6 branches can diverge according to stress duration, cellular lineage and microenvironm",07_manuscript/manuscript_scientific_reports.md
citation_group_003,citation_group_detail,[4],pass,"line 19; refs 4; Molecular studies of ESCC indicate that tumour progression is shaped by stress adaptation and tumour-microenvironment remodelling [1]. Calcium homeostasis and endoplasmic-reticulum stress are central to proteostasis, apoptosis and therapy-pressure responses in cancer [2,3]. The UPR is not a single linear pathway. PERK, IRE1 and ATF6 branches can diverge according to stress duration, cellular lineage and microenvironm",07_manuscript/manuscript_scientific_reports.md
citation_group_004,citation_group_detail,[5],pass,"line 19; refs 5; Molecular studies of ESCC indicate that tumour progression is shaped by stress adaptation and tumour-microenvironment remodelling [1]. Calcium homeostasis and endoplasmic-reticulum stress are central to proteostasis, apoptosis and therapy-pressure responses in cancer [2,3]. The UPR is not a single linear pathway. PERK, IRE1 and ATF6 branches can diverge according to stress duration, cellular lineage and microenvironm",07_manuscript/manuscript_scientific_reports.md
citation_group_005,citation_group_detail,[6-8],pass,"line 21; refs 6;7;8; Public expression compendia provide an opportunity to test whether such ecology-level states are reproducible across independent ESCC cohorts. In preliminary candidate screening, an earlier SMIM14-centred model did not support a strong causal, prognostic or treatment-resistance interpretation. We therefore rebuilt the analysis around a Ca2/UPR axis-first strategy. This screen selected TMEM158 as the lead computationa",07_manuscript/manuscript_scientific_reports.md
citation_group_006,citation_group_detail,"[1,9]",pass,"line 29; refs 1;9; TMEM158 was higher in tumour than normal samples in TCGA-ESCA/ESCC-compatible analysis (184 tumours, 13 normals; median difference 2.660; FDR=1.69e-4), GSE20347 (17 tumours, 17 normals; median difference 1.279; FDR=0.0382) and GSE26886 (9 tumours, 19 normals; median difference 3.830; FDR=0.00260). GSE45670 showed no significant tumour-normal shift (28 tumours, 10 normals; median difference 0.052; FDR=0.987), indicati",07_manuscript/manuscript_scientific_reports.md
citation_group_007,citation_group_detail,"[10,11]",pass,"line 35; refs 10;11; Axis-first screening supported TMEM158 as the lead candidate for the Ca2/UPR-CAF programme. Candidate scoring incorporated public proteogenomic and molecular-subtype context for ESCC [10,11]. Cross-layer evidence showed a TCGA axis-CAF discovery rho of 0.668, GSE45670 validation rho of 0.475 and DepMap ESCC basal branch rho of 0.403. In the recomputed TMEM158 branch, TCGA tumour-internal correlations were positive fo",07_manuscript/manuscript_scientific_reports.md
citation_group_008,citation_group_detail,"[12,13]",pass,"line 41; refs 12;13; We defined TAC_high as the rule-based state in which a sample was high for the TMEM158-Ca2/PERK core and high for CAF score within its cohort. This definition was chosen because it is interpretable, tied to the biological model and reproducible across cohorts. Gene-set and cohort-level score construction followed standard single-sample pathway-scoring and batch-aware expression-analysis principles [12,13]. The TAC_hi",07_manuscript/manuscript_scientific_reports.md
citation_group_009,citation_group_detail,[14],pass,"line 55; refs 14; To reduce dependence on pre-specified score panels, we tested TAC_high using whole-transcriptome limma models within each bulk cohort followed by signed Stouffer meta-analysis [14]. TAC_high versus all other states was completed in four cohorts and produced a strong data-driven stromal programme. The leading meta genes included POSTN, COL6A3, COL1A2, TMEM158, CHST7, COL3A1, FAP, SULF1, COL1A1 and COL6A2. Gene-set enr",07_manuscript/manuscript_scientific_reports.md
citation_group_010,citation_group_detail,"[15,16]",pass,"line 55; refs 15;16; To reduce dependence on pre-specified score panels, we tested TAC_high using whole-transcriptome limma models within each bulk cohort followed by signed Stouffer meta-analysis [14]. TAC_high versus all other states was completed in four cohorts and produced a strong data-driven stromal programme. The leading meta genes included POSTN, COL6A3, COL1A2, TMEM158, CHST7, COL3A1, FAP, SULF1, COL1A1 and COL6A2. Gene-set enr",07_manuscript/manuscript_scientific_reports.md
citation_group_011,citation_group_detail,"[17,18]",pass,"line 73; refs 17;18; TCGA/cBioPortal multi-omics analysis matched 184 TCGA samples, including 181 copy-number values, seven TMEM158 methylation probes and zero TMEM158 mutation records [17,18]. TMEM158 copy number was not consistent with a simple amplification-driven model. TMEM158_log2CNA was negatively correlated with TMEM158 expression (rho=-0.237, FDR=0.00530) and with the full-axis ecology score (rho=-0.264, FDR=0.00252). Promoter m",07_manuscript/manuscript_scientific_reports.md
citation_group_012,citation_group_detail,[19],pass,"line 79; refs 19; In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",07_manuscript/manuscript_scientific_reports.md
citation_group_013,citation_group_detail,[20],pass,"line 85; refs 20; To test whether the CAF/ECM localization was specific to GSE160269, we added an independent therapy-context single-cell validation layer from GSE221561 [20]. The existing raw archive allowed partial recovery of 7 of 11 listed libraries; four gzip members remained corrupted and were retained as a boundary. All 124 requested TMEM158/TAC_high/ECM-integrin target genes were covered in the parsed libraries. Among six tumo",07_manuscript/manuscript_scientific_reports.md
citation_group_014,citation_group_detail,[21],pass,"line 87; refs 21; We next added a public spatial progression source-data calibration layer from a Nature Communications 2023 ESCC spatial whole-transcriptome study [21]. The public Source Data did not contain the complete WTA expression matrix, so TMEM158, Ca2/UPR and TAC_high could not be directly rescored in spatial ROIs. However, the published DSP and IF source tables supported a fibroblast-rich progression context: DSP fibroblast ",07_manuscript/manuscript_scientific_reports.md
citation_group_015,citation_group_detail,[22-24],pass,"line 89; refs 22;23;24; Official public protein/context resources supported TMEM158 as a measurable membrane-protein candidate [22-24]. UniProt annotated TMEM158 as reviewed accession Q8WZ71, Transmembrane protein 158, 300 amino acids, with membrane and multi-pass membrane protein annotations. QuickGO/UniProt cellular-component evidence was limited to membrane (GO:0016020). HPA mapped TMEM158 to ENSG00000249992, classified it as a predicted",07_manuscript/manuscript_scientific_reports.md
citation_group_016,citation_group_detail,[25],pass,"line 91; refs 25; AlphaFold Protein Structure Database analysis added predicted-structure support for this membrane-topology interpretation [25]. The canonical Q8WZ71 model covered residues 1-300 (model version 6) with global pLDDT 56.66. UniProt feature annotation defined two helical transmembrane regions at residues 231-251 and 273-293. The first segment had higher AlphaFold confidence (mean pLDDT 76.13), whereas the second segment ",07_manuscript/manuscript_scientific_reports.md
citation_group_017,citation_group_detail,"[1,9,17,18,22-25]",pass,"line 235; refs 1;9;17;18;22;23;24;25; All data analysed in this study were obtained from public resources, including TCGA/GDC or cBioPortal, GEO, DepMap-derived public resources, UniProt, QuickGO, the Human Protein Atlas and the AlphaFold Protein Structure Database [1,9,17,18,22-25]. No new patient-level dataset was generated in this study. Processed intermediate tables and analysis outputs are available in the public GitHub repository at https://github.",07_manuscript/manuscript_scientific_reports.md
